"age","dob_year","gender","friend_count","likes","likes_received"
21,1992,"female",349,1475,614
20,1993,"female",3765,816,1382
18,1995,"female",412,312,115
28,1985,"female",322,250,212
18,1995,"female",1391,442,814
47,1966,"female",108,187,222
22,1991,"female",92,515,362
18,1995,"male",899,138,508
25,1988,"female",731,141,581
55,1958,"female",210,355,204
14,1999,"female",579,2345,3455
21,1992,"female",241,2096,403
17,1996,"female",349,463,282
50,1963,"female",319,603,405
26,1987,"female",225,146,354
20,1993,"female",1224,258,137
43,1970,"female",236,514,320
54,1959,"female",196,192,256
63,1950,"female",129,2198,582
19,1994,"female",1085,1268,672
61,1952,"female",268,307,271
16,1997,"female",214,340,123
62,1951,"female",105,1221,821
60,1953,"male",67,185,506
18,1995,"female",391,167,164
23,1990,"male",212,443,770
21,1992,"male",548,242,864
19,1994,"female",364,1059,775
18,1995,"female",649,509,1452
19,1994,"female",418,249,451
18,1995,"female",344,737,396
46,1967,"male",203,3222,970
19,1994,"female",4320,903,1136
16,1997,"male",3869,252,407
18,1995,"female",868,169,487
25,1988,"female",95,156,161
17,1996,"male",807,1838,736
52,1961,"female",339,1189,420
64,1949,"female",207,157,203
23,1990,"female",465,644,663
30,1983,"female",144,216,350
19,1994,"male",338,203,159
24,1989,"male",144,1120,189
25,1988,"male",208,456,287
24,1989,"female",215,175,197
38,1975,"male",1189,462,1383
19,1994,"male",751,220,129
16,1997,"male",239,181,171
48,1965,"female",79,696,137
40,1973,"female",80,381,144
28,1985,"male",183,310,246
35,1978,"female",112,414,262
18,1995,"male",801,230,575
18,1995,"female",73,601,178
37,1976,"female",281,486,238
60,1953,"male",71,107,148
55,1958,"female",384,816,1256
52,1961,"female",151,102,133
16,1997,"male",242,209,128
44,1969,"male",264,405,127
57,1956,"female",60,296,155
36,1977,"female",894,473,355
19,1994,"female",4189,927,2859
26,1987,"male",698,1919,996
20,1993,"female",3170,1485,4604
20,1993,"female",1552,1032,1761
18,1995,"female",2973,137,240
45,1968,"male",704,1357,3213
51,1962,"female",584,1738,2443
17,1996,"male",2756,511,627
